# "agency"="noaa"
# "unit"="meters"
# "datum"="NAVD"
# "station_id"="9414290"
# "item"="elev"
# "timezone"="LST"
# "source"="http://tidesandcurrents.noaa.gov/"
Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2019-10-01 04:18,0.869,0.022,0,0,0,0,v
2019-10-01 04:24,0.827,0.030,0,0,0,0,v
2019-10-01 04:30,0.787,0.029,0,0,0,0,v
2019-10-01 04:36,0.752,0.023,0,0,0,0,v
2019-10-01 04:42,0.720,0.024,0,0,0,0,v
2019-10-01 04:48,0.694,0.032,0,0,0,0,v
2019-10-01 04:54,0.666,0.024,0,0,0,0,v
2019-10-01 05:00,0.637,0.021,0,0,0,0,v
2019-10-01 05:06,0.613,0.022,0,0,0,0,v
2019-10-01 05:12,0.580,0.024,0,0,0,0,v
2019-10-01 05:18,0.558,0.024,0,0,0,0,v
2019-10-01 05:24,0.532,0.023,0,0,0,0,v
2019-10-01 05:30,0.512,0.018,0,0,0,0,v
2019-10-01 05:36,0.493,0.019,0,0,0,0,v
2019-10-01 05:42,0.480,0.021,0,0,0,0,v
2019-10-01 05:48,0.472,0.024,0,0,0,0,v
2019-10-01 05:54,0.463,0.021,0,0,0,0,v
2019-10-01 06:00,0.452,0.023,0,0,0,0,v
2019-10-01 06:06,0.440,0.020,0,0,0,0,v
2019-10-01 06:12,0.427,0.018,0,0,0,0,v
2019-10-01 06:18,0.424,0.018,0,0,0,0,v
2019-10-01 06:24,0.423,0.015,0,0,0,0,v
2019-10-01 06:30,0.430,0.018,0,0,0,0,v
2019-10-01 06:36,0.438,0.023,0,0,0,0,v
2019-10-01 06:42,0.441,0.022,0,0,0,0,v
2019-10-01 06:48,0.441,0.018,0,0,0,0,v
2019-10-01 06:54,0.443,0.018,0,0,0,0,v
2019-10-01 07:00,0.456,0.020,0,0,0,0,v
2019-10-01 07:06,0.470,0.021,0,0,0,0,v
2019-10-01 07:12,0.484,0.019,0,0,0,0,v
2019-10-01 07:18,0.500,0.023,0,0,0,0,v
2019-10-01 07:24,0.505,0.018,0,0,0,0,v
2019-10-01 07:30,0.523,0.021,0,0,0,0,v
2019-10-01 07:36,0.545,0.019,0,0,0,0,v
2019-10-01 07:42,0.567,0.020,0,0,0,0,v
2019-10-01 07:48,0.589,0.024,0,0,0,0,v
2019-10-01 07:54,0.608,0.022,0,0,0,0,v
2019-10-01 08:00,0.628,0.021,0,0,0,0,v
2019-10-01 08:06,0.658,0.017,0,0,0,0,v
2019-10-01 08:12,0.686,0.021,0,0,0,0,v
2019-10-01 08:18,0.711,0.018,0,0,0,0,v
2019-10-01 08:24,0.743,0.023,0,0,0,0,v
2019-10-01 08:30,0.770,0.024,0,0,0,0,v
2019-10-01 08:36,0.800,0.024,0,0,0,0,v
2019-10-01 08:42,0.834,0.022,0,0,0,0,v
2019-10-01 08:48,0.872,0.023,0,0,0,0,v
2019-10-01 08:54,0.910,0.022,0,0,0,0,v
2019-10-01 09:00,0.942,0.021,0,0,0,0,v
2019-10-01 09:06,0.975,0.024,0,0,0,0,v
2019-10-01 09:12,1.018,0.020,0,0,0,0,v
2019-10-01 09:18,1.046,0.024,0,0,0,0,v
2019-10-01 09:24,1.076,0.022,0,0,0,0,v
2019-10-01 09:30,1.102,0.026,0,0,0,0,v
2019-10-01 09:36,1.137,0.026,0,0,0,0,v
2019-10-01 09:42,1.176,0.024,0,0,0,0,v
2019-10-01 09:48,1.217,0.030,0,0,0,0,v
2019-10-01 09:54,1.264,0.030,0,0,0,0,v
2019-10-01 10:00,1.298,0.021,0,0,0,0,v
2019-10-01 10:06,1.325,0.025,0,0,0,0,v
2019-10-01 10:12,1.362,0.025,0,0,0,0,v
2019-10-01 10:18,1.394,0.030,0,0,0,0,v
2019-10-01 10:24,1.432,0.025,0,0,0,0,v
2019-10-01 10:30,1.459,0.024,0,0,0,0,v
2019-10-01 10:36,1.493,0.023,0,0,0,0,v
2019-10-01 10:42,1.522,0.024,0,0,0,0,v
2019-10-01 10:48,1.549,0.026,0,0,0,0,v
2019-10-01 10:54,1.578,0.033,0,0,0,0,v
2019-10-01 11:00,1.607,0.021,0,0,0,0,v
2019-10-01 11:06,1.637,0.030,0,0,0,0,v
2019-10-01 11:12,1.669,0.027,0,0,0,0,v
2019-10-01 11:18,1.706,0.030,0,0,0,0,v
2019-10-01 11:24,1.733,0.021,0,0,0,0,v
2019-10-01 11:30,1.758,0.033,0,0,0,0,v
2019-10-01 11:36,1.785,0.029,0,0,0,0,v
2019-10-01 11:42,1.806,0.031,0,0,0,0,v
2019-10-01 11:48,1.828,0.026,0,0,0,0,v
2019-10-01 11:54,1.856,0.025,0,0,0,0,v
2019-10-01 12:00,1.886,0.030,0,0,0,0,v
2019-10-01 12:06,1.908,0.027,0,0,0,0,v
2019-10-01 12:12,1.928,0.025,0,0,0,0,v
2019-10-01 12:18,1.949,0.029,0,0,0,0,v
2019-10-01 12:24,1.964,0.024,0,0,0,0,v
2019-10-01 12:30,1.976,0.024,0,0,0,0,v
2019-10-01 12:36,1.980,0.021,0,0,0,0,v
2019-10-01 12:42,1.985,0.024,0,0,0,0,v
2019-10-01 12:48,1.991,0.024,0,0,0,0,v
2019-10-01 12:54,1.986,0.024,0,0,0,0,v
2019-10-01 13:00,1.984,0.022,0,0,0,0,v
2019-10-01 13:06,1.988,0.023,0,0,0,0,v
2019-10-01 13:12,1.982,0.023,0,0,0,0,v
2019-10-01 13:18,1.983,0.022,0,0,0,0,v
2019-10-01 13:24,1.986,0.021,0,0,0,0,v
2019-10-01 13:30,1.977,0.031,0,0,0,0,v
2019-10-01 13:36,1.963,0.025,0,0,0,0,v
2019-10-01 13:42,1.952,0.023,0,0,0,0,v
2019-10-01 13:48,1.936,0.021,0,0,0,0,v
2019-10-01 13:54,1.921,0.021,0,0,0,0,v
2019-10-01 14:00,1.906,0.020,0,0,0,0,v
2019-10-01 14:06,1.884,0.024,0,0,0,0,v
2019-10-01 14:12,1.854,0.024,0,0,0,0,v
2019-10-01 14:18,1.818,0.031,0,0,0,0,v
2019-10-01 14:24,1.788,0.022,0,0,0,0,v
2019-10-01 14:30,1.751,0.023,0,0,0,0,v
2019-10-01 14:36,1.721,0.019,0,0,0,0,v
2019-10-01 14:42,1.681,0.019,0,0,0,0,v
2019-10-01 14:48,1.638,0.024,0,0,0,0,v
2019-10-01 14:54,1.595,0.020,0,0,0,0,v
2019-10-01 15:00,1.556,0.022,0,0,0,0,v
2019-10-01 15:06,1.510,0.023,0,0,0,0,v
2019-10-01 15:12,1.462,0.020,0,0,0,0,v
2019-10-01 15:18,1.417,0.026,0,0,0,0,v
2019-10-01 15:24,1.361,0.026,0,0,0,0,v
2019-10-01 15:30,1.318,0.022,0,0,0,0,v
2019-10-01 15:36,1.275,0.028,0,0,0,0,v
2019-10-01 15:42,1.226,0.027,0,0,0,0,v
2019-10-01 15:48,1.172,0.023,0,0,0,0,v
2019-10-01 15:54,1.112,0.029,0,0,0,0,v
2019-10-01 16:00,1.061,0.027,0,0,0,0,v
2019-10-01 16:06,1.018,0.026,0,0,0,0,v
2019-10-01 16:12,0.966,0.028,0,0,0,0,v
2019-10-01 16:18,0.913,0.025,0,0,0,0,v
2019-10-01 16:24,0.860,0.024,0,0,0,0,v
2019-10-01 16:30,0.809,0.023,0,0,0,0,v
2019-10-01 16:36,0.757,0.023,0,0,0,0,v
2019-10-01 16:42,0.706,0.027,0,0,0,0,v
2019-10-01 16:48,0.652,0.024,0,0,0,0,v
2019-10-01 16:54,0.608,0.028,0,0,0,0,v
2019-10-01 17:00,0.559,0.027,0,0,0,0,v
2019-10-01 17:06,0.512,0.024,0,0,0,0,v
2019-10-01 17:12,0.480,0.025,0,0,0,0,v
2019-10-01 17:18,0.443,0.021,0,0,0,0,v
2019-10-01 17:24,0.407,0.022,0,0,0,0,v
2019-10-01 17:30,0.372,0.018,0,0,0,0,v
2019-10-01 17:36,0.346,0.022,0,0,0,0,v
2019-10-01 17:42,0.320,0.022,0,0,0,0,v
2019-10-01 17:48,0.291,0.020,0,0,0,0,v
2019-10-01 17:54,0.255,0.019,0,0,0,0,v
2019-10-01 18:00,0.221,0.017,0,0,0,0,v
2019-10-01 18:06,0.191,0.016,0,0,0,0,v
2019-10-01 18:12,0.169,0.019,0,0,0,0,v
2019-10-01 18:18,0.148,0.020,0,0,0,0,v
2019-10-01 18:24,0.135,0.019,0,0,0,0,v
2019-10-01 18:30,0.113,0.021,0,0,0,0,v
2019-10-01 18:36,0.085,0.023,0,0,0,0,v
2019-10-01 18:42,0.064,0.027,0,0,0,0,v
2019-10-01 18:48,0.049,0.020,0,0,0,0,v
2019-10-01 18:54,0.042,0.021,0,0,0,0,v
2019-10-01 19:00,0.038,0.018,0,0,0,0,v
2019-10-01 19:06,0.036,0.014,0,0,0,0,v
2019-10-01 19:12,0.030,0.014,0,0,0,0,v
2019-10-01 19:18,0.014,0.015,0,0,0,0,v
2019-10-01 19:24,0.009,0.018,0,0,0,0,v
2019-10-01 19:30,0.008,0.018,0,0,0,0,v
2019-10-01 19:36,0.011,0.022,0,0,0,0,v
2019-10-01 19:42,0.019,0.017,0,0,0,0,v
2019-10-01 19:48,0.024,0.015,0,0,0,0,v
2019-10-01 19:54,0.029,0.023,0,0,0,0,v
2019-10-01 20:00,0.028,0.017,0,0,0,0,v
2019-10-01 20:06,0.042,0.016,0,0,0,0,v
2019-10-01 20:12,0.058,0.023,0,0,0,0,v
2019-10-01 20:18,0.074,0.019,0,0,0,0,v
2019-10-01 20:24,0.090,0.018,0,0,0,0,v
2019-10-01 20:30,0.105,0.017,0,0,0,0,v
2019-10-01 20:36,0.122,0.020,0,0,0,0,v
2019-10-01 20:42,0.139,0.018,0,0,0,0,v
2019-10-01 20:48,0.161,0.021,0,0,0,0,v
2019-10-01 20:54,0.190,0.019,0,0,0,0,v
2019-10-01 21:00,0.224,0.018,0,0,0,0,v
2019-10-01 21:06,0.256,0.016,0,0,0,0,v
2019-10-01 21:12,0.282,0.017,0,0,0,0,v
2019-10-01 21:18,0.310,0.018,0,0,0,0,v
2019-10-01 21:24,0.341,0.016,0,0,0,0,v
2019-10-01 21:30,0.369,0.019,0,0,0,0,v
2019-10-01 21:36,0.395,0.016,0,0,0,0,v
2019-10-01 21:42,0.424,0.020,0,0,0,0,v
2019-10-01 21:48,0.448,0.015,0,0,0,0,v
2019-10-01 21:54,0.477,0.018,0,0,0,0,v
2019-10-01 22:00,0.511,0.022,0,0,0,0,v
2019-10-01 22:06,0.550,0.023,0,0,0,0,v
2019-10-01 22:12,0.599,0.021,0,0,0,0,v
2019-10-01 22:18,0.647,0.020,0,0,0,0,v
2019-10-01 22:24,0.681,0.020,0,0,0,0,v
2019-10-01 22:30,0.714,0.018,0,0,0,0,v
2019-10-01 22:36,0.742,0.018,0,0,0,0,v
2019-10-01 22:42,0.769,0.017,0,0,0,0,v
2019-10-01 22:48,0.797,0.017,0,0,0,0,v
2019-10-01 22:54,0.830,0.019,0,0,0,0,v
2019-10-01 23:00,0.863,0.023,0,0,0,0,v
2019-10-01 23:06,0.901,0.023,0,0,0,0,v
2019-10-01 23:12,0.939,0.019,0,0,0,0,v
2019-10-01 23:18,0.975,0.018,0,0,0,0,v
2019-10-01 23:24,1.004,0.018,0,0,0,0,v
2019-10-01 23:30,1.024,0.018,0,0,0,0,v
2019-10-01 23:36,1.054,0.020,0,0,0,0,v
2019-10-01 23:42,1.080,0.023,0,0,0,0,v
2019-10-01 23:48,1.114,0.024,0,0,0,0,v
2019-10-01 23:54,1.153,0.024,0,0,0,0,v
2019-10-02 00:00,1.183,0.020,0,0,0,0,v
2019-10-02 00:06,1.218,0.025,0,0,0,0,v
2019-10-02 00:12,1.245,0.021,0,0,0,0,v
2019-10-02 00:18,1.277,0.023,0,0,0,0,v
2019-10-02 00:24,1.306,0.023,0,0,0,0,v
2019-10-02 00:30,1.335,0.026,0,0,0,0,v
2019-10-02 00:36,1.357,0.020,0,0,0,0,v
2019-10-02 00:42,1.380,0.022,0,0,0,0,v
2019-10-02 00:48,1.399,0.026,0,0,0,0,v
2019-10-02 00:54,1.419,0.023,0,0,0,0,v
2019-10-02 01:00,1.436,0.026,0,0,0,0,v
2019-10-02 01:06,1.457,0.024,0,0,0,0,v
2019-10-02 01:12,1.473,0.028,0,0,0,0,v
2019-10-02 01:18,1.494,0.020,0,0,0,0,v
2019-10-02 01:24,1.504,0.023,0,0,0,0,v
2019-10-02 01:30,1.521,0.025,0,0,0,0,v
2019-10-02 01:36,1.535,0.024,0,0,0,0,v
2019-10-02 01:42,1.544,0.026,0,0,0,0,v
2019-10-02 01:48,1.551,0.021,0,0,0,0,v
2019-10-02 01:54,1.560,0.025,0,0,0,0,v
2019-10-02 02:00,1.563,0.019,0,0,0,0,v
2019-10-02 02:06,1.571,0.020,0,0,0,0,v
2019-10-02 02:12,1.580,0.022,0,0,0,0,v
2019-10-02 02:18,1.583,0.019,0,0,0,0,v
2019-10-02 02:24,1.573,0.020,0,0,0,0,v
2019-10-02 02:30,1.571,0.018,0,0,0,0,v
2019-10-02 02:36,1.562,0.013,0,0,0,0,v
2019-10-02 02:42,1.554,0.019,0,0,0,0,v
2019-10-02 02:48,1.546,0.018,0,0,0,0,v
2019-10-02 02:54,1.531,0.019,0,0,0,0,v
2019-10-02 03:00,1.515,0.015,0,0,0,0,v
2019-10-02 03:06,1.499,0.022,0,0,0,0,v
2019-10-02 03:12,1.484,0.019,0,0,0,0,v
2019-10-02 03:18,1.476,0.020,0,0,0,0,v
2019-10-02 03:24,1.463,0.026,0,0,0,0,v
2019-10-02 03:30,1.439,0.028,0,0,0,0,v
2019-10-02 03:36,1.418,0.025,0,0,0,0,v
2019-10-02 03:42,1.380,0.022,0,0,0,0,v
2019-10-02 03:48,1.353,0.024,0,0,0,0,v
2019-10-02 03:54,1.334,0.017,0,0,0,0,v
2019-10-02 04:00,1.310,0.023,0,0,0,0,v
2019-10-02 04:06,1.293,0.019,0,0,0,0,v
2019-10-02 04:12,1.269,0.021,0,0,0,0,v
2019-10-02 04:18,1.241,0.021,0,0,0,0,v
2019-10-02 04:24,1.209,0.019,0,0,0,0,v
2019-10-02 04:30,1.172,0.026,0,0,0,0,v
2019-10-02 04:36,1.139,0.022,0,0,0,0,v
2019-10-02 04:42,1.101,0.026,0,0,0,0,v
2019-10-02 04:48,1.069,0.020,0,0,0,0,v
2019-10-02 04:54,1.042,0.025,0,0,0,0,v
2019-10-02 05:00,1.000,0.024,0,0,0,0,v
2019-10-02 05:06,0.966,0.024,0,0,0,0,v
2019-10-02 05:12,0.922,0.021,0,0,0,0,v
2019-10-02 05:18,0.896,0.020,0,0,0,0,v
2019-10-02 05:24,0.871,0.019,0,0,0,0,v
2019-10-02 05:30,0.853,0.022,0,0,0,0,v
2019-10-02 05:36,0.828,0.020,0,0,0,0,v
2019-10-02 05:42,0.802,0.017,0,0,0,0,v
2019-10-02 05:48,0.778,0.017,0,0,0,0,v
2019-10-02 05:54,0.744,0.020,0,0,0,0,v
2019-10-02 06:00,0.716,0.021,0,0,0,0,v
2019-10-02 06:06,0.699,0.023,0,0,0,0,v
2019-10-02 06:12,0.679,0.019,0,0,0,0,v
2019-10-02 06:18,0.665,0.018,0,0,0,0,v
2019-10-02 06:24,0.656,0.020,0,0,0,0,v
2019-10-02 06:30,0.644,0.025,0,0,0,0,v
2019-10-02 06:36,0.626,0.021,0,0,0,0,v
2019-10-02 06:42,0.613,0.016,0,0,0,0,v
2019-10-02 06:48,0.608,0.016,0,0,0,0,v
2019-10-02 06:54,0.597,0.018,0,0,0,0,v
2019-10-02 07:00,0.588,0.022,0,0,0,0,v
2019-10-02 07:06,0.584,0.018,0,0,0,0,v
2019-10-02 07:12,0.579,0.018,0,0,0,0,v
2019-10-02 07:18,0.583,0.020,0,0,0,0,v
2019-10-02 07:24,0.589,0.023,0,0,0,0,v
2019-10-02 07:30,0.608,0.020,0,0,0,0,v
2019-10-02 07:36,0.614,0.026,0,0,0,0,v
2019-10-02 07:42,0.619,0.021,0,0,0,0,v
2019-10-02 07:48,0.625,0.018,0,0,0,0,v
2019-10-02 07:54,0.627,0.023,0,0,0,0,v
2019-10-02 08:00,0.635,0.021,0,0,0,0,v
2019-10-02 08:06,0.641,0.020,0,0,0,0,v
2019-10-02 08:12,0.654,0.020,0,0,0,0,v
2019-10-02 08:18,0.673,0.019,0,0,0,0,v
2019-10-02 08:24,0.690,0.018,0,0,0,0,v
2019-10-02 08:30,0.705,0.024,0,0,0,0,v
2019-10-02 08:36,0.730,0.022,0,0,0,0,v
2019-10-02 08:42,0.753,0.017,0,0,0,0,v
2019-10-02 08:48,0.766,0.020,0,0,0,0,v
2019-10-02 08:54,0.781,0.017,0,0,0,0,v
2019-10-02 09:00,0.804,0.019,0,0,0,0,v
2019-10-02 09:06,0.834,0.019,0,0,0,0,v
2019-10-02 09:12,0.852,0.021,0,0,0,0,v
2019-10-02 09:18,0.884,0.017,0,0,0,0,v
2019-10-02 09:24,0.913,0.015,0,0,0,0,v
2019-10-02 09:30,0.941,0.019,0,0,0,0,v
2019-10-02 09:36,0.975,0.022,0,0,0,0,v
2019-10-02 09:42,1.013,0.020,0,0,0,0,v
2019-10-02 09:48,1.048,0.017,0,0,0,0,v
2019-10-02 09:54,1.077,0.017,0,0,0,0,v
2019-10-02 10:00,1.106,0.018,0,0,0,0,v
2019-10-02 10:06,1.133,0.019,0,0,0,0,v
2019-10-02 10:12,1.157,0.019,0,0,0,0,v
2019-10-02 10:18,1.179,0.020,0,0,0,0,v
2019-10-02 10:24,1.204,0.019,0,0,0,0,v
2019-10-02 10:30,1.242,0.024,0,0,0,0,v
2019-10-02 10:36,1.276,0.024,0,0,0,0,v
2019-10-02 10:42,1.311,0.026,0,0,0,0,v
2019-10-02 10:48,1.343,0.025,0,0,0,0,v
2019-10-02 10:54,1.369,0.027,0,0,0,0,v
2019-10-02 11:00,1.398,0.030,0,0,0,0,v
2019-10-02 11:06,1.426,0.024,0,0,0,0,v
2019-10-02 11:12,1.446,0.027,0,0,0,0,v
2019-10-02 11:18,1.468,0.024,0,0,0,0,v
2019-10-02 11:24,1.498,0.025,0,0,0,0,v
2019-10-02 11:30,1.527,0.022,0,0,0,0,v
2019-10-02 11:36,1.565,0.023,0,0,0,0,v
2019-10-02 11:42,1.592,0.024,0,0,0,0,v
2019-10-02 11:48,1.616,0.027,0,0,0,0,v
2019-10-02 11:54,1.637,0.021,0,0,0,0,v
2019-10-02 12:00,1.654,0.023,0,0,0,0,v
2019-10-02 12:06,1.679,0.028,0,0,0,0,v
2019-10-02 12:12,1.693,0.029,0,0,0,0,v
2019-10-02 12:18,1.716,0.020,0,0,0,0,v
2019-10-02 12:24,1.749,0.028,0,0,0,0,v
2019-10-02 12:30,1.772,0.029,0,0,0,0,v
2019-10-02 12:36,1.796,0.023,0,0,0,0,v
2019-10-02 12:42,1.821,0.028,0,0,0,0,v
2019-10-02 12:48,1.838,0.024,0,0,0,0,v
2019-10-02 12:54,1.859,0.018,0,0,0,0,v
2019-10-02 13:00,1.873,0.019,0,0,0,0,v
2019-10-02 13:06,1.880,0.018,0,0,0,0,v
2019-10-02 13:12,1.889,0.026,0,0,0,0,v
2019-10-02 13:18,1.894,0.023,0,0,0,0,v
2019-10-02 13:24,1.908,0.019,0,0,0,0,v
2019-10-02 13:30,1.913,0.027,0,0,0,0,v
2019-10-02 13:36,1.915,0.027,0,0,0,0,v
2019-10-02 13:42,1.930,0.022,0,0,0,0,v
2019-10-02 13:48,1.934,0.028,0,0,0,0,v
2019-10-02 13:54,1.934,0.028,0,0,0,0,v
2019-10-02 14:00,1.926,0.031,0,0,0,0,v
2019-10-02 14:06,1.913,0.024,0,0,0,0,v
2019-10-02 14:12,1.890,0.024,0,0,0,0,v
2019-10-02 14:18,1.879,0.019,0,0,0,0,v
2019-10-02 14:24,1.868,0.021,0,0,0,0,v
2019-10-02 14:30,1.854,0.020,0,0,0,0,v
2019-10-02 14:36,1.838,0.018,0,0,0,0,v
2019-10-02 14:42,1.827,0.022,0,0,0,0,v
2019-10-02 14:48,1.808,0.019,0,0,0,0,v
2019-10-02 14:54,1.775,0.024,0,0,0,0,v
2019-10-02 15:00,1.745,0.022,0,0,0,0,v
2019-10-02 15:06,1.714,0.021,0,0,0,0,v
2019-10-02 15:12,1.678,0.018,0,0,0,0,v
2019-10-02 15:18,1.648,0.024,0,0,0,0,v
2019-10-02 15:24,1.617,0.024,0,0,0,0,v
2019-10-02 15:30,1.578,0.021,0,0,0,0,v
2019-10-02 15:36,1.545,0.027,0,0,0,0,v
2019-10-02 15:42,1.512,0.022,0,0,0,0,v
2019-10-02 15:48,1.482,0.021,0,0,0,0,v
2019-10-02 15:54,1.443,0.024,0,0,0,0,v
2019-10-02 16:00,1.399,0.023,0,0,0,0,v
2019-10-02 16:06,1.355,0.026,0,0,0,0,v
2019-10-02 16:12,1.309,0.027,0,0,0,0,v
2019-10-02 16:18,1.262,0.024,0,0,0,0,v
2019-10-02 16:24,1.210,0.025,0,0,0,0,v
2019-10-02 16:30,1.154,0.024,0,0,0,0,v
2019-10-02 16:36,1.096,0.026,0,0,0,0,v
2019-10-02 16:42,1.040,0.027,0,0,0,0,v
2019-10-02 16:48,0.991,0.023,0,0,0,0,v
2019-10-02 16:54,0.942,0.023,0,0,0,0,v
2019-10-02 17:00,0.902,0.020,0,0,0,0,v
2019-10-02 17:06,0.864,0.021,0,0,0,0,v
2019-10-02 17:12,0.823,0.022,0,0,0,0,v
2019-10-02 17:18,0.779,0.026,0,0,0,0,v
2019-10-02 17:24,0.742,0.024,0,0,0,0,v
2019-10-02 17:30,0.706,0.019,0,0,0,0,v
2019-10-02 17:36,0.664,0.026,0,0,0,0,v
2019-10-02 17:42,0.615,0.029,0,0,0,0,v
2019-10-02 17:48,0.571,0.023,0,0,0,0,v
2019-10-02 17:54,0.530,0.020,0,0,0,0,v
2019-10-02 18:00,0.492,0.020,0,0,0,0,v
2019-10-02 18:06,0.461,0.027,0,0,0,0,v
2019-10-02 18:12,0.427,0.024,0,0,0,0,v
2019-10-02 18:18,0.388,0.025,0,0,0,0,v
2019-10-02 18:24,0.351,0.021,0,0,0,0,v
2019-10-02 18:30,0.317,0.023,0,0,0,0,v
2019-10-02 18:36,0.288,0.021,0,0,0,0,v
2019-10-02 18:42,0.265,0.021,0,0,0,0,v
2019-10-02 18:48,0.240,0.025,0,0,0,0,v
2019-10-02 18:54,0.215,0.020,0,0,0,0,v
2019-10-02 19:00,0.188,0.019,0,0,0,0,v
2019-10-02 19:06,0.162,0.018,0,0,0,0,v
2019-10-02 19:12,0.139,0.017,0,0,0,0,v
2019-10-02 19:18,0.120,0.016,0,0,0,0,v
2019-10-02 19:24,0.106,0.018,0,0,0,0,v
2019-10-02 19:30,0.095,0.019,0,0,0,0,v
2019-10-02 19:36,0.084,0.018,0,0,0,0,v
2019-10-02 19:42,0.062,0.020,0,0,0,0,v
2019-10-02 19:48,0.050,0.020,0,0,0,0,v
2019-10-02 19:54,0.043,0.016,0,0,0,0,v
2019-10-02 20:00,0.036,0.018,0,0,0,0,v
2019-10-02 20:06,0.033,0.019,0,0,0,0,v
2019-10-02 20:12,0.024,0.016,0,0,0,0,v
2019-10-02 20:18,0.016,0.018,0,0,0,0,v
2019-10-02 20:24,0.006,0.026,0,0,0,0,v
2019-10-02 20:30,0.003,0.024,0,0,0,0,v
2019-10-02 20:36,0.005,0.020,0,0,0,0,v
2019-10-02 20:42,0.008,0.020,0,0,0,0,v
2019-10-02 20:48,0.015,0.019,0,0,0,0,v
2019-10-02 20:54,0.029,0.020,0,0,0,0,v
2019-10-02 21:00,0.047,0.021,0,0,0,0,v
2019-10-02 21:06,0.056,0.019,0,0,0,0,v
2019-10-02 21:12,0.072,0.015,0,0,0,0,v
2019-10-02 21:18,0.084,0.020,0,0,0,0,v
2019-10-02 21:24,0.098,0.027,0,0,0,0,v
2019-10-02 21:30,0.115,0.016,0,0,0,0,v
2019-10-02 21:36,0.125,0.017,0,0,0,0,v
2019-10-02 21:42,0.136,0.019,0,0,0,0,v
2019-10-02 21:48,0.155,0.017,0,0,0,0,v
2019-10-02 21:54,0.171,0.018,0,0,0,0,v
2019-10-02 22:00,0.199,0.022,0,0,0,0,v
2019-10-02 22:06,0.238,0.018,0,0,0,0,v
2019-10-02 22:12,0.262,0.018,0,0,0,0,v
2019-10-02 22:18,0.286,0.019,0,0,0,0,v
2019-10-02 22:24,0.309,0.018,0,0,0,0,v
2019-10-02 22:30,0.337,0.019,0,0,0,0,v
2019-10-02 22:36,0.364,0.017,0,0,0,0,v
2019-10-02 22:42,0.393,0.016,0,0,0,0,v
2019-10-02 22:48,0.431,0.016,0,0,0,0,v
2019-10-02 22:54,0.461,0.018,0,0,0,0,v
2019-10-02 23:00,0.494,0.014,0,0,0,0,v
2019-10-02 23:06,0.528,0.016,0,0,0,0,v
2019-10-02 23:12,0.565,0.018,0,0,0,0,v
2019-10-02 23:18,0.600,0.016,0,0,0,0,v
